bfs_nr,canton,municipality_type,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until
1,ZH,237,0.071599,2023-12-31,0.086732,2023-09-21,0.661232,0.977492,2023-12-15,4.568,2.9931,9189,6021,2022-12-01,2023-11-30
2,ZH,112,0.038656,2023-12-31,0.04624,2023-09-20,0.430708,0.979764,2023-11-13,4.2413,1.718,53156,21532,2022-12-01,2023-11-30
3,ZH,227,0.05285,2023-12-31,0.056341,2023-07-26,0.399646,0.986784,2023-12-13,2.7716,1.7277,15776,9834,2022-12-01,2023-11-30
4,ZH,227,0.048823,2023-12-31,0.096951,2023-11-01,0.569045,0.961894,2024-01-05,3.8654,2.2068,15253,8708,2022-12-01,2023-11-30
5,ZH,113,0.050166,2023-12-31,0.102449,2023-09-21,0.485876,0.983859,2024-01-08,5.627,2.244,21512,8579,2022-12-01,2023-11-30
6,ZH,237,0.044156,2023-12-31,0.0797,2022-12-22,0.65625,0.962406,2024-01-04,3.7666,2.2075,5170,3030,2022-12-01,2023-11-30
7,ZH,227,0.056511,2023-12-31,0.188679,2023-09-07,0.515856,0.924036,2024-01-03,3.0429,1.7893,7653,4500,2022-12-01,2023-11-30
8,ZH,235,0.041344,2023-12-31,0.073105,2023-06-14,0.617486,0.9729,2023-02-23,4.0998,2.7644,2628,1772,2022-12-01,2023-11-30
9,ZH,226,0.052155,2023-12-31,0.085271,2023-09-15,0.647343,0.992799,2024-01-09,4.4983,2.1301,26594,12593,2022-12-01,2023-11-30
10,ZH,227,0.048099,2023-12-31,0.066844,2023-09-30,0.493253,0.992611,2023-08-30,3.5963,2.0842,21441,12426,2022-12-01,2023-11-30
11,ZH,226,0.049102,2023-12-31,0.080504,2023-08-24,0.501299,0.973035,2024-01-11,4.8249,2.8493,13669,8072,2022-12-01,2023-11-30
12,ZH,236,0.062691,2023-12-31,0.102448,2023-10-05,0.618297,0.955556,2024-01-05,3.6239,2.1004,4253,2465,2022-12-01,2023-11-30
13,ZH,217,0.053726,2023-12-31,0.037125,2023-08-23,0.394004,0.982409,2023-12-21,3.8314,2.0423,14862,7922,2022-12-01,2023-11-30
14,ZH,217,0.077819,2023-12-31,0.083357,2023-09-26,0.31346,0.978302,2024-01-04,3.3473,1.9163,17995,10302,2022-12-01,2023-11-30
22,ZH,235,0.032143,2023-12-31,0.030181,2023-07-10,0.542125,0.983673,2022-12-31,4.6832,2.4971,3976,2120,2022-12-01,2023-11-30
23,ZH,227,0.025404,2023-12-31,0.046879,2023-03-10,0.6625,0.951807,2022-12-31,4.522,3.3758,2734,2041,2022-12-01,2023-11-30
24,ZH,235,0.064234,2023-12-31,0.044381,2023-09-02,0.684211,0.92931,2023-10-12,4.216,2.7183,4442,2864,2022-12-01,2023-11-30
25,ZH,226,0.055366,2023-12-31,0.054457,2023-09-16,0.455986,0.973068,2023-07-28,5.4155,2.3923,10558,4664,2022-12-01,2023-11-30
26,ZH,237,0.040323,2023-12-31,0.032487,2023-06-10,0.621739,0.973171,2023-08-07,4.5966,3.0243,3213,2114,2022-12-01,2023-11-30
27,ZH,123,0.042017,2023-12-31,0.048078,2023-08-18,0.168553,0.964678,2023-11-24,3.4227,1.645,13094,6293,2022-12-01,2023-11-30
28,ZH,227,0.049524,2023-12-31,0.036564,2023-08-28,0.602174,0.97153,2023-06-28,5.7582,3.1181,8445,4573,2022-12-01,2023-11-30
29,ZH,123,0.050184,2023-12-31,0.034935,2023-08-17,0.256098,0.973684,2022-12-31,4.177,2.1145,6491,3286,2022-12-01,2023-11-30
31,ZH,226,0.043027,2023-12-31,0.107811,2023-06-29,0.40708,0.98397,2023-11-29,3.7855,2.202,8790,5113,2022-12-01,2023-11-30
33,ZH,226,0.030473,2023-12-31,0.050814,2023-07-24,0.502311,0.956559,2023-10-11,5.6842,2.9492,12287,6375,2022-12-01,2023-11-30
34,ZH,226,0.062002,2023-12-31,0.111288,2023-09-01,0.375691,0.97341,2023-11-08,4.5242,2.7917,8320,5134,2022-12-01,2023-11-30
35,ZH,227,0.029347,2023-12-31,0.036802,2023-07-26,0.516949,0.966437,2023-11-24,7.2103,3.1674,13786,6056,2022-12-01,2023-11-30
37,ZH,237,0.028285,2023-12-31,0.097452,2023-07-13,0.609901,0.973856,2023-07-18,4.4002,2.6576,7747,4679,2022-12-01,2023-11-30
38,ZH,237,0.034856,2023-12-31,0.04139,2023-06-01,0.407674,0.944269,2024-01-09,5.3627,2.5363,6950,3287,2022-12-01,2023-11-30
39,ZH,236,0.050143,2023-12-31,0.038396,2023-06-15,0.72,0.992793,2023-04-25,4.1186,2.8874,4098,2873,2022-12-01,2023-11-30
40,ZH,235,0.038168,2023-12-31,0.085874,2023-10-03,0.473684,0.983791,2023-11-03,4.95,2.9002,5250,3076,2022-12-01,2023-11-30
41,ZH,235,0.059322,2023-12-31,0.040995,2022-07-25,0.611111,0.981132,2022-12-31,5.2675,2.6658,2304,1166,2022-12-01,2023-11-30
43,ZH,227,0.020161,2023-12-31,0.04136,2022-06-21,0.728814,0.982379,2023-12-14,4.3573,2.976,1817,1241,2022-12-01,2023-11-30
51,ZH,113,0.060536,2023-12-31,0.055895,2023-09-14,0.445652,0.906571,2023-12-19,5.3816,1.7857,23028,7641,2022-12-01,2023-11-30
52,ZH,113,0.034275,2023-12-31,0.062761,2023-10-02,0.348798,0.953393,2024-01-12,3.5799,1.5024,43362,18198,2022-12-01,2023-11-30
53,ZH,112,0.031851,2023-12-31,0.058744,2023-10-16,0.338877,0.908079,2024-01-10,3.9897,1.4599,93142,34082,2022-12-01,2023-11-30
54,ZH,112,0.048338,2023-12-31,0.083888,2023-08-28,0.162308,0.924142,2023-10-12,5.191,1.2693,41329,10106,2022-12-01,2023-11-30
55,ZH,226,0.057794,2023-12-31,0.080012,2023-11-02,0.4897,0.921315,2023-12-23,3.6485,2.25,20669,12746,2022-12-01,2023-11-30
56,ZH,113,0.037094,2023-12-31,0.060656,2023-11-10,0.406671,0.94154,2023-12-08,3.5813,1.6252,36132,16397,2022-12-01,2023-11-30
57,ZH,113,0.050228,2023-12-31,0.051915,2023-05-09,0.548885,0.981896,2023-02-27,4.4281,2.6055,10661,6273,2022-12-01,2023-11-30
58,ZH,227,0.047209,2023-12-31,0.04625,2023-09-01,0.41028,0.970634,2023-11-01,3.4786,2.0634,18889,11204,2022-12-01,2023-11-30
59,ZH,226,0.028594,2023-12-31,0.052436,2023-10-06,0.37931,0.92782,2023-11-21,2.9139,1.8464,5981,3790,2022-12-01,2023-11-30
60,ZH,113,0.028041,2023-12-31,0.058328,2023-07-07,0.506591,0.963615,2023-10-26,5.2659,1.8612,16733,5914,2022-12-01,2023-11-30
61,ZH,237,0.043825,2023-12-31,0.075913,2023-06-28,0.525,0.936909,2022-12-31,5.3637,2.7283,5943,3023,2022-12-01,2023-11-30
62,ZH,112,0.059812,2023-12-31,0.020339,2023-09-21,0.222624,0.951183,2023-12-27,6.9171,1.2493,148473,26816,2022-12-01,2023-11-30
63,ZH,227,0.051297,2023-12-31,0.058669,2023-04-20,0.608059,0.994702,2023-06-28,3.3571,2.1415,9177,5854,2022-12-01,2023-11-30
64,ZH,227,0.039409,2023-12-31,0.049976,2023-08-08,0.426561,0.969271,2023-11-30,3.3525,2.0717,19354,11960,2022-12-01,2023-11-30
65,ZH,237,0.026889,2023-12-31,0.073107,2023-09-26,0.548872,0.947009,2023-10-12,3.9214,2.6252,4308,2884,2022-12-01,2023-11-30
66,ZH,112,0.048363,2023-12-31,0.050107,2023-07-05,0.30303,0.955859,2023-12-21,5.4706,1.0708,118219,23139,2022-12-01,2023-11-30
67,ZH,226,0.046318,2023-12-31,0.077189,2023-09-25,0.611164,0.974625,2024-01-08,4.5522,2.1558,21726,10289,2022-12-01,2023-11-30
68,ZH,113,0.030154,2023-12-31,0.038994,2023-09-08,0.417288,0.98209,2023-10-31,2.9717,1.8909,8719,5548,2022-12-01,2023-11-30
69,ZH,112,0.052636,2023-12-31,0.065859,2023-09-07,0.211949,0.956102,2024-01-04,6.8815,1.3066,123527,23454,2022-12-01,2023-11-30
70,ZH,237,0.035354,2023-12-31,0.040877,2022-11-10,0.560606,0.99115,2022-12-31,4.0017,3.1132,2369,1843,2022-12-01,2023-11-30
71,ZH,236,0.05029,2023-12-31,0.103297,2023-08-18,0.510373,0.970555,2023-11-30,5.6826,2.6584,8916,4171,2022-12-01,2023-11-30
72,ZH,113,0.057037,2023-12-31,0.060587,2023-10-02,0.517483,0.95037,2024-01-10,3.4818,2.2947,17380,11454,2022-12-01,2023-11-30
81,ZH,237,0.038462,2023-12-31,0.044189,2023-07-27,0.549133,0.848558,2020-10-23,5.2149,2.6888,3398,1752,2022-12-01,2023-11-30
82,ZH,235,0.055151,2023-12-31,0.067066,2023-11-02,0.458333,0.919192,2023-10-10,4.0435,2.3663,6092,3565,2022-12-01,2023-11-30
83,ZH,217,0.059172,2023-12-31,0.046721,2023-07-11,0.290533,0.96978,2024-01-08,3.263,1.3431,22011,9060,2022-12-01,2023-11-30
84,ZH,216,0.029173,2023-12-31,0.052088,2023-06-22,0.366319,0.928349,2023-11-16,7.2396,1.6687,31779,7325,2022-12-01,2023-11-30
85,ZH,226,0.038875,2023-12-31,0.071762,2023-08-09,0.38191,0.969091,2023-12-19,3.7852,1.6143,6936,2958,2022-12-01,2023-11-30
86,ZH,217,0.05241,2023-12-31,0.104434,2023-09-05,0.271351,0.961933,2024-01-12,6.8018,1.9203,41427,11696,2022-12-01,2023-11-30
87,ZH,226,0.043993,2023-12-31,0.035305,2023-09-12,0.540541,0.988584,2022-12-31,3.3473,2.428,3113,2258,2022-12-01,2023-11-30
88,ZH,227,0.049898,2023-12-31,0.055831,2023-09-04,0.414013,0.976357,2023-12-22,3.516,2.4342,11707,8105,2022-12-01,2023-11-30
89,ZH,113,0.030266,2023-12-31,0.066185,2023-09-08,0.348039,0.926196,2023-12-01,4.1374,1.7347,20538,8611,2022-12-01,2023-11-30
90,ZH,113,0.038527,2023-12-31,0.094163,2023-10-25,0.292862,0.950073,2024-01-11,3.457,1.6167,33191,15522,2022-12-01,2023-11-30
91,ZH,226,0.054787,2023-12-31,0.09519,2023-07-11,0.594667,0.973807,2023-12-19,4.583,2.3322,14418,7337,2022-12-01,2023-11-30
92,ZH,113,0.022745,2023-12-31,0.117635,2023-06-09,0.374115,0.91838,2024-01-11,2.7684,1.4032,21347,10820,2022-12-01,2023-11-30
93,ZH,227,0.04142,2023-12-31,0.04336,2023-08-08,0.363426,0.975117,2023-12-20,2.7522,1.9293,5331,3737,2022-12-01,2023-11-30
94,ZH,227,0.032125,2023-12-31,0.074239,2023-09-04,0.392857,0.880855,2023-10-13,6.3661,1.9899,18962,5927,2022-12-01,2023-11-30
95,ZH,227,0.024735,2023-12-31,0.043895,2022-09-13,0.326733,0.932515,2023-10-12,4.8356,2.4533,2176,1104,2022-12-01,2023-11-30
96,ZH,112,0.033721,2023-12-31,0.056005,2023-09-21,0.277879,0.885512,2024-01-12,4.0898,1.4045,76299,26202,2022-12-01,2023-11-30
97,ZH,216,0.030299,2023-12-31,0.06425,2023-09-01,0.320502,0.951715,2023-12-21,6.1723,1.3084,52218,11069,2022-12-01,2023-11-30
98,ZH,227,0.042159,2023-12-31,0.048774,2023-08-15,0.521368,0.891626,2023-09-13,3.2361,2.3232,2974,2135,2022-12-01,2023-11-30
99,ZH,227,0.048035,2023-12-31,0.064431,2023-09-27,0.384181,0.973333,2023-09-07,3.7235,2.6038,5058,3537,2022-12-01,2023-11-30
100,ZH,227,0.038913,2023-12-31,0.043093,2023-09-23,0.462712,0.969808,2023-11-08,3.5793,2.1919,8596,5264,2022-12-01,2023-11-30
101,ZH,217,0.039052,2023-12-31,0.0984,2023-09-11,0.471831,0.980541,2024-01-10,3.6574,1.9231,13476,7086,2022-12-01,2023-11-30
102,ZH,226,0.032798,2023-12-31,0.051784,2023-09-29,0.610256,0.940741,2022-12-31,3.0443,1.8678,6684,4101,2022-12-01,2023-11-30
111,ZH,227,0.032278,2023-12-31,0.072695,2023-10-02,0.496106,0.981495,2023-09-28,4.5484,2.5781,22724,12880,2022-12-01,2023-11-30
112,ZH,216,0.04513,2023-12-31,0.085021,2023-09-29,0.287955,0.947556,2024-01-09,6.0489,2.13,45304,15953,2022-12-01,2023-11-30
113,ZH,137,0.039068,2023-12-31,0.078782,2023-09-13,0.336758,0.948342,2024-01-03,3.3476,1.8652,25924,14444,2022-12-01,2023-11-30
114,ZH,326,0.027674,2023-12-31,0.069069,2023-03-24,0.669512,0.979626,2023-12-15,4.4137,2.2752,11564,5961,2022-12-01,2023-11-30
115,ZH,216,0.035257,2023-12-31,0.071186,2023-10-02,0.391425,0.972468,2024-01-12,3.2563,1.948,33826,20236,2022-12-01,2023-11-30
116,ZH,227,0.043573,2023-12-31,0.079428,2023-09-08,0.48589,0.965631,2023-12-22,4.4585,2.0988,18048,8496,2022-12-01,2023-11-30
117,ZH,216,0.037264,2023-12-31,0.060409,2023-10-27,0.371126,0.958001,2024-01-09,5.6914,2.0241,67367,23959,2022-12-01,2023-11-30
118,ZH,136,0.03058,2023-12-31,0.075288,2023-09-19,0.210205,0.97643,2024-01-04,4.1589,1.5166,53579,19538,2022-12-01,2023-11-30
119,ZH,227,0.065804,2023-12-31,0.077819,2023-10-13,0.369014,0.917031,2023-12-22,4.4204,2.2418,6292,3191,2022-12-01,2023-11-30
120,ZH,217,0.025491,2023-12-31,0.069242,2023-10-26,0.438755,0.977922,2024-01-11,4.065,2.1081,42795,22193,2022-12-01,2023-11-30
121,ZH,112,0.033537,2023-12-31,0.079492,2023-10-27,0.247111,0.969057,2023-12-19,4.9231,1.6686,127748,43299,2022-12-01,2023-11-30
131,ZH,113,0.038235,2023-12-31,0.052816,2023-10-02,0.183356,0.950706,2024-01-08,3.2742,1.2221,62670,23391,2022-12-01,2023-11-30
135,ZH,113,0.057545,2023-12-31,0.027412,2023-10-01,0.189445,0.967787,2024-01-09,5.3045,1.7453,51549,16961,2022-12-01,2023-11-30
